MatrixSize,Threads,Method,AverageTimeMicroseconds,Speedup
100,1,Sequential,6325.00,1.00
100,1,Parallel.For,6722.00,0.94
100,1,Thread,6338.00,1.00
100,2,Sequential,6134.00,1.00
100,2,Parallel.For,3215.00,1.91
100,2,Thread,3253.00,1.89
100,4,Sequential,6136.00,1.00
100,4,Parallel.For,1713.00,3.58
100,4,Thread,1804.00,3.40
100,8,Sequential,6185.00,1.00
100,8,Parallel.For,1356.00,4.56
100,8,Thread,1399.00,4.42
100,16,Sequential,6137.00,1.00
100,16,Parallel.For,1036.00,5.92
100,16,Thread,1785.00,3.44
200,1,Sequential,48572.00,1.00
200,1,Parallel.For,48582.00,1.00
200,1,Thread,48466.00,1.00
200,2,Sequential,48347.00,1.00
200,2,Parallel.For,24843.00,1.95
200,2,Thread,25067.00,1.93
200,4,Sequential,48247.00,1.00
200,4,Parallel.For,12850.00,3.75
200,4,Thread,13026.00,3.70
200,8,Sequential,48331.00,1.00
200,8,Parallel.For,6717.00,7.20
200,8,Thread,6961.00,6.94
200,16,Sequential,48511.00,1.00
200,16,Parallel.For,6768.00,7.17
200,16,Thread,7603.00,6.38
300,1,Sequential,163938.00,1.00
300,1,Parallel.For,165883.00,0.99
300,1,Thread,165480.00,0.99
300,2,Sequential,168159.00,1.00
300,2,Parallel.For,86411.00,1.95
300,2,Thread,84870.00,1.98
300,4,Sequential,163773.00,1.00
300,4,Parallel.For,43248.00,3.79
300,4,Thread,43053.00,3.80
300,8,Sequential,166267.00,1.00
300,8,Parallel.For,23873.00,6.96
300,8,Thread,22271.00,7.47
300,16,Sequential,163826.00,1.00
300,16,Parallel.For,23932.00,6.85
300,16,Thread,23362.00,7.01
